address,new_house_no,new_street_no,village_phum,commune_khum,district_srok,new_province
"Pa Chon Thum, Aekakpheap, Ou Chum, Ratanak Kiri Province",,,Pa Chon Thum,Aekakpheap,Ou Chum,Ratanak Kiri Province
"Damreb, Akphivoadth, Tuek Phos, Kampong Chhnang Province",,,Damreb,Akphivoadth,Tuek Phos,Kampong Chhnang Province
"Akreiy Ksatr, Akreiy Ksatr, Lvea Aem, Kandal Province",,,Akreiy Ksatr,Akreiy Ksatr,Lvea Aem,Kandal Province
"Akreiy Ksatr, Lvea Aem, Kandal Province",,,,Akreiy Ksatr,Lvea Aem,Kandal Province
"Andoung Chroh, Ampil, Kampong Siem, Kampong Cham Province",,,Andoung Chroh,Ampil,Kampong Siem,Kampong Cham Province
"Kiri Meanon, Ampil, Prasat Bakong, Siemreap Province",,,Kiri Meanon,Ampil,Prasat Bakong,Siemreap Province
"Prey Kuy, Ampil, Prasat Bakong, Siemreap Province",,,Prey Kuy,Ampil,Prasat Bakong,Siemreap Province
"Tnaot, Ampil, Prasat Bakong, Siemreap Province",,,Tnaot,Ampil,Prasat Bakong,Siemreap Province
"Trapeang Run, Ampil, Prasat Bakong, Siemreap Province",,,Trapeang Run,Ampil,Prasat Bakong,Siemreap Province
"Ampil, Kampong Siem, Kampong Cham Province",,,,Ampil,Kampong Siem,Kampong Cham Province
"Ampil, Prasat Bakong, Siemreap Province",,,,Ampil,Prasat Bakong,Siemreap Province
"Trapeang Prei, Angk Khnor, Treang, Takeo Province",,,Trapeang Prei,Angk Khnor,Treang,Takeo Province
"Angk Khnor, Treang, Takeo Province",,,,Angk Khnor,Treang,Takeo Province
"St.Road  10 metter, Svay Teab, Angk Popel, Kong Pisei, Kampong Speu Province",,St.Road  10 metter,Svay Teab,Angk Popel,Kong Pisei,Kampong Speu Province
"St.Road22, Prey Chheu Teal Kraom, Angk Ta Saom, Tram Kak, Takeo Province",,St.Road22,Prey Chheu Teal Kraom,Angk Ta Saom,Tram Kak,Takeo Province
"St.Road3, Sek Yea, Angk Ta Saom, Tram Kak, Takeo Province",,St.Road3,Sek Yea,Angk Ta Saom,Tram Kak,Takeo Province
"Daeum Trang, Anlong Romiet, Kandal Stueng, Kandal Province",,,Daeum Trang,Anlong Romiet,Kandal Stueng,Kandal Province
"St.67B, Anlong Veaeng, Anlong Veaeng, Oddar Meanchey Province",,St.67B,,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey Province
"#NA, St.NA, Beng, Anlong Vil, Sangkae, Battambang Province",#NA,St.NA,Beng,Anlong Vil,Sangkae,Battambang Province
"Ou Muni Muoy, Anlong Vil, Sangkae, Battambang Province",,,Ou Muni Muoy,Anlong Vil,Sangkae,Battambang Province
"B'er, Kampong Chhnang, Kampong Chhnang Province",,,,B'er,Kampong Chhnang,Kampong Chhnang Province
"#None, St.None, Chong Bangkoul, Baek Chan, Angk Snuol, Kandal Province",#None,St.None,Chong Bangkoul,Baek Chan,Angk Snuol,Kandal Province
"Ta Phouk, Bakong, Prasat Bakong, Siemreap Province",,,Ta Phouk,Bakong,Prasat Bakong,Siemreap Province
"Thnal Trang, Bakong, Prasat Bakong, Siemreap Province",,,Thnal Trang,Bakong,Prasat Bakong,Siemreap Province
"Krapeu, Ballangk, Prasat Bakong, Siemreap Province",,,Krapeu,Ballangk,Prasat Bakong,Siemreap Province
"Snar Sangkream, Ballangk, Banteay Srei, Siemreap Province",,,Snar Sangkream,Ballangk,Banteay Srei,Siemreap Province
"Trach, Ballangk, Prasat Bakong, Siemreap Province",,,Trach,Ballangk,Prasat Bakong,Siemreap Province
"St.N/A, Bansay Reak, Bansay Reak, Samraong, Oddar Meanchey Province",,St.N/A,Bansay Reak,Bansay Reak,Samraong,Oddar Meanchey Province
"#, St., Kaev Sovann Leu, Banteay Dei, Pursat, Pursat Province",#,St.,Kaev Sovann Leu,Banteay Dei,Pursat,Pursat Province
"#, St., Ou Ba Krang Leu, Banteay Dei, Pursat, Pursat Province",#,St.,Ou Ba Krang Leu,Banteay Dei,Pursat,Pursat Province
"Banteay Dei Leu, Banteay Dei, Pursat, Pursat Province",,,Banteay Dei Leu,Banteay Dei,Pursat,Pursat Province
"St., Thon Mon Khang Tboung, Baray, Doun Kaev, Takeo Province",,St.,Thon Mon Khang Tboung,Baray,Doun Kaev,Takeo Province
"Batheay, Batheay, Batheay, Kampong Cham Province",,,Batheay,Batheay,Batheay,Kampong Cham Province
"#B16, Ta Boeb, Bavet, Bavet, Svay Rieng Province",#B16,,Ta Boeb,Bavet,Bavet,Svay Rieng Province
"Phum Pir, Bei, Preah Sihanouk, Preah Sihanouk Province",,,Phum Pir,Bei,Preah Sihanouk,Preah Sihanouk Province
"Bei, Preah Sihanouk, Preah Sihanouk Province",,,,Bei,Preah Sihanouk,Preah Sihanouk Province
"St., Kantuy Chun, Beng, Banteay Ampil, Oddar Meanchey Province",,St.,Kantuy Chun,Beng,Banteay Ampil,Oddar Meanchey Province
"Beng, Banteay Ampil, Oddar Meanchey Province",,,,Beng,Banteay Ampil,Oddar Meanchey Province
"Pu Thoeang, Bet Trang, Prey Nob, Preah Sihanouk Province",,,Pu Thoeang,Bet Trang,Prey Nob,Preah Sihanouk Province
