village_name,com_com,dis_name,pro_name
Ou Thum,Banteay Neang,Mongkol Borei,Banteay Meanchey
Phnum,Banteay Neang,Mongkol Borei,Banteay Meanchey
Banteay Neang,Banteay Neang,Mongkol Borei,Banteay Meanchey
Kouk Pnov,Banteay Neang,Mongkol Borei,Banteay Meanchey
Trang,Banteay Neang,Mongkol Borei,Banteay Meanchey
Pongro,Banteay Neang,Mongkol Borei,Banteay Meanchey
Kouk Tonloab,Banteay Neang,Mongkol Borei,Banteay Meanchey
Trabaek,Banteay Neang,Mongkol Borei,Banteay Meanchey
Khilek,Banteay Neang,Mongkol Borei,Banteay Meanchey
Samraong Pen,Banteay Neang,Mongkol Borei,Banteay Meanchey
Dang Run Lech,Banteay Neang,Mongkol Borei,Banteay Meanchey
Dang Run Kaeut,Banteay Neang,Mongkol Borei,Banteay Meanchey
Ou Snguot,Banteay Neang,Mongkol Borei,Banteay Meanchey
Prey Changha Lech,Banteay Neang,Mongkol Borei,Banteay Meanchey
Prey Changha Kaeut,Banteay Neang,Mongkol Borei,Banteay Meanchey
Ou Andoung Lech,Banteay Neang,Mongkol Borei,Banteay Meanchey
Ou Andoung Kandal,Banteay Neang,Mongkol Borei,Banteay Meanchey
Ou Andoung Kaeut,Banteay Neang,Mongkol Borei,Banteay Meanchey
Kouk Kduoch,Banteay Neang,Mongkol Borei,Banteay Meanchey
Khtum Reay Lech,Bat Trang,Mongkol Borei,Banteay Meanchey
Khtum Reay Kaeut,Bat Trang,Mongkol Borei,Banteay Meanchey
Anlong Thngan Kaeut,Bat Trang,Mongkol Borei,Banteay Meanchey
Anlong Thngan Lech,Bat Trang,Mongkol Borei,Banteay Meanchey
Bang Bat Lech,Bat Trang,Mongkol Borei,Banteay Meanchey
Bang Bat Kaeut,Bat Trang,Mongkol Borei,Banteay Meanchey
Bat Trang,Bat Trang,Mongkol Borei,Banteay Meanchey
Bat Trang Thum Lech,Bat Trang,Mongkol Borei,Banteay Meanchey
Bat Trang Thum Kaeut,Bat Trang,Mongkol Borei,Banteay Meanchey
Bat Trang Touch,Bat Trang,Mongkol Borei,Banteay Meanchey
Preaek Chik,Bat Trang,Mongkol Borei,Banteay Meanchey
Pralay Char,Chamnaom,Mongkol Borei,Banteay Meanchey
Rongvean Lech,Chamnaom,Mongkol Borei,Banteay Meanchey
Rongvean Kaeut,Chamnaom,Mongkol Borei,Banteay Meanchey
Chamnaom Lech,Chamnaom,Mongkol Borei,Banteay Meanchey
Chamnaom Kaeut,Chamnaom,Mongkol Borei,Banteay Meanchey
Roung Kou Daeum,Chamnaom,Mongkol Borei,Banteay Meanchey
Roung Kou Kandal,Chamnaom,Mongkol Borei,Banteay Meanchey
Roung Kou Chong,Chamnaom,Mongkol Borei,Banteay Meanchey
Peam Roung Kou,Chamnaom,Mongkol Borei,Banteay Meanchey
Ta Sal,Chamnaom,Mongkol Borei,Banteay Meanchey
Chuor Khchas,Chamnaom,Mongkol Borei,Banteay Meanchey
Boeng Tras,Chamnaom,Mongkol Borei,Banteay Meanchey
Dang Trang,Chamnaom,Mongkol Borei,Banteay Meanchey
Srae Prey,Chamnaom,Mongkol Borei,Banteay Meanchey
Bos Tonloab,Chamnaom,Mongkol Borei,Banteay Meanchey
Ta  Bun,Chamnaom,Mongkol Borei,Banteay Meanchey
Kouk Ponley,Chamnaom,Mongkol Borei,Banteay Meanchey
Say Samon,Chamnaom,Mongkol Borei,Banteay Meanchey
Kouk Ballangk,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Ta An,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Pralay Chrey,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Cheung Chab,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Phat Sandaong,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Char Thmei,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Ph'av Thmei,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Ta Sal,Kouk Ballangk,Mongkol Borei,Banteay Meanchey
Koy Maeng,Koy Maeng,Mongkol Borei,Banteay Meanchey
Sdei Leu,Koy Maeng,Mongkol Borei,Banteay Meanchey
Phlov Siem,Koy Maeng,Mongkol Borei,Banteay Meanchey
Ta Nong,Koy Maeng,Mongkol Borei,Banteay Meanchey
Angkar Khmau,Koy Maeng,Mongkol Borei,Banteay Meanchey
Kasang Thmei,Koy Maeng,Mongkol Borei,Banteay Meanchey
Stueng Chas,Koy Maeng,Mongkol Borei,Banteay Meanchey
Sdei Kraom,Koy Maeng,Mongkol Borei,Banteay Meanchey
Phnum Thum Tboung,Ou Prasat,Mongkol Borei,Banteay Meanchey
Phnum Prasat,Ou Prasat,Mongkol Borei,Banteay Meanchey
Phnum Thum Cheung,Ou Prasat,Mongkol Borei,Banteay Meanchey
Chamkar Louk,Ou Prasat,Mongkol Borei,Banteay Meanchey
Phnum Thum Thmei,Ou Prasat,Mongkol Borei,Banteay Meanchey
Anlong Sdei,Ou Prasat,Mongkol Borei,Banteay Meanchey
Kouk Thlong Kaeut,Ou Prasat,Mongkol Borei,Banteay Meanchey
Kouk Thlong Kandal,Ou Prasat,Mongkol Borei,Banteay Meanchey
Ou Snguot,Ou Prasat,Mongkol Borei,Banteay Meanchey
Ou Prasat,Ou Prasat,Mongkol Borei,Banteay Meanchey
Kouk Ampil,Ou Prasat,Mongkol Borei,Banteay Meanchey
Ra Chamkar Chek,Ou Prasat,Mongkol Borei,Banteay Meanchey
Pou Rieng,Ou Prasat,Mongkol Borei,Banteay Meanchey
Rung Krabau,Ou Prasat,Mongkol Borei,Banteay Meanchey
Phnum Touch Tboung,Phnum Touch,Mongkol Borei,Banteay Meanchey
Phnum Touch Cheung,Phnum Touch,Mongkol Borei,Banteay Meanchey
Thnal Bat,Phnum Touch,Mongkol Borei,Banteay Meanchey
Ou Nhor,Phnum Touch,Mongkol Borei,Banteay Meanchey
Boeng Tras,Phnum Touch,Mongkol Borei,Banteay Meanchey
Monourom,Phnum Touch,Mongkol Borei,Banteay Meanchey
Paoy Ta Sek,Phnum Touch,Mongkol Borei,Banteay Meanchey
Prey Totueng,Phnum Touch,Mongkol Borei,Banteay Meanchey
Boeng Reang,Phnum Touch,Mongkol Borei,Banteay Meanchey
Voat Thmei,Phnum Touch,Mongkol Borei,Banteay Meanchey
Pou Pir Daeum,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Rohat Tuek,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Thnal Bat,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Kramol,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Khtum Chrum,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Chak Lech,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Doun Mul,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Preaek Samraong,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Ou Dangkao,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Chamkar Chek,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Ou Chuob,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Ka Svay,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Chak Kaeut,Rohat Tuek,Mongkol Borei,Banteay Meanchey
Anhchanh,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Neang Ket,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Praek Ropov,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Sala Daeng,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Samraong,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Anlong Mean Troap,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Chamkar Ta Daok,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Pralay Luong Kraom,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Luong,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Ou Ta Kol,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Pralay Luong Leu,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Kouk Svay,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Ou Ta Ma,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Kaoh Kaev,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Phasi Sra,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Ruessei Kraok,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Chumteav,Ruessei Kraok,Mongkol Borei,Banteay Meanchey
Chhnaeum Meas,Sambuor,Mongkol Borei,Banteay Meanchey
Sranal,Sambuor,Mongkol Borei,Banteay Meanchey
La,Sambuor,Mongkol Borei,Banteay Meanchey
Ta Meaeng Pok,Sambuor,Mongkol Borei,Banteay Meanchey
Sambuor,Sambuor,Mongkol Borei,Banteay Meanchey
Doun Loek,Sambuor,Mongkol Borei,Banteay Meanchey
Kbal Krabei,Sambuor,Mongkol Borei,Banteay Meanchey
Srah Chhuk,Sambuor,Mongkol Borei,Banteay Meanchey
Srae Prey,Sambuor,Mongkol Borei,Banteay Meanchey
Chaek Angkar,Sambuor,Mongkol Borei,Banteay Meanchey
Thma Dab,Sambuor,Mongkol Borei,Banteay Meanchey
Ta Mau,Soea,Mongkol Borei,Banteay Meanchey
Ansam Chek,Soea,Mongkol Borei,Banteay Meanchey
Tnaot,Soea,Mongkol Borei,Banteay Meanchey
Buor,Soea,Mongkol Borei,Banteay Meanchey
Bos Laok,Soea,Mongkol Borei,Banteay Meanchey
Soea,Soea,Mongkol Borei,Banteay Meanchey
Boeng Touch,Soea,Mongkol Borei,Banteay Meanchey
Phlov Damrei Leu,Soea,Mongkol Borei,Banteay Meanchey
Phlov Damrei Kraom,Soea,Mongkol Borei,Banteay Meanchey
Ou Soea,Soea,Mongkol Borei,Banteay Meanchey
Kouk Samraong,Soea,Mongkol Borei,Banteay Meanchey
Ballangk Chrey,Soea,Mongkol Borei,Banteay Meanchey
Ou Choub Thmey,Soea,Mongkol Borei,Banteay Meanchey
Ta In Muoy,Srah Reang,Mongkol Borei,Banteay Meanchey
Ta In Pir,Srah Reang,Mongkol Borei,Banteay Meanchey
Krouch,Srah Reang,Mongkol Borei,Banteay Meanchey
Chamkar Chek,Srah Reang,Mongkol Borei,Banteay Meanchey
Srah Reang,Srah Reang,Mongkol Borei,Banteay Meanchey
Ta Chan,Srah Reang,Mongkol Borei,Banteay Meanchey
Kouk Srok,Srah Reang,Mongkol Borei,Banteay Meanchey
Kouk Chrab,Srah Reang,Mongkol Borei,Banteay Meanchey
Kouk Krasang,Srah Reang,Mongkol Borei,Banteay Meanchey
Preah Srae,Ta Lam,Mongkol Borei,Banteay Meanchey
Ta Lam Kandal,Ta Lam,Mongkol Borei,Banteay Meanchey
Ta Lam Chong,Ta Lam,Mongkol Borei,Banteay Meanchey
Boeng Khleang Lech,Ta Lam,Mongkol Borei,Banteay Meanchey
Chong Kouk,Ta Lam,Mongkol Borei,Banteay Meanchey
Boeng Khleang Kaeut,Ta Lam,Mongkol Borei,Banteay Meanchey
Khla Kham Chhkae,Ta Lam,Mongkol Borei,Banteay Meanchey
Boeng Veaeng,Ta Lam,Mongkol Borei,Banteay Meanchey
Rongvean,Nam Tau,Phnum Srok,Banteay Meanchey
Thmei Khang Tboung,Nam Tau,Phnum Srok,Banteay Meanchey
Thmei Khang Cheung,Nam Tau,Phnum Srok,Banteay Meanchey
Kouk Yeang,Nam Tau,Phnum Srok,Banteay Meanchey
Kouk Chas,Nam Tau,Phnum Srok,Banteay Meanchey
Chrab,Nam Tau,Phnum Srok,Banteay Meanchey
Kantuot,Nam Tau,Phnum Srok,Banteay Meanchey
Nam Tau,Nam Tau,Phnum Srok,Banteay Meanchey
Pongro,Nam Tau,Phnum Srok,Banteay Meanchey
Samraong,Nam Tau,Phnum Srok,Banteay Meanchey
Khnang,Nam Tau,Phnum Srok,Banteay Meanchey
Thnong Khang Tboung,Nam Tau,Phnum Srok,Banteay Meanchey
Thnong Khang Cheung,Nam Tau,Phnum Srok,Banteay Meanchey
Slaeng,Nam Tau,Phnum Srok,Banteay Meanchey
Takong,Nam Tau,Phnum Srok,Banteay Meanchey
Yeang Otdam,Nam Tau,Phnum Srok,Banteay Meanchey
Ampil Kaong,Nam Tau,Phnum Srok,Banteay Meanchey
Kong Siem,Nam Tau,Phnum Srok,Banteay Meanchey
Paoy Snuol,Poy Char,Phnum Srok,Banteay Meanchey
Paoy Char,Poy Char,Phnum Srok,Banteay Meanchey
Trapeang Thma Tboung,Poy Char,Phnum Srok,Banteay Meanchey
Trapeang Thma Cheung,Poy Char,Phnum Srok,Banteay Meanchey
Trapeang Thma Kandal,Poy Char,Phnum Srok,Banteay Meanchey
Paoy Ta Ong,Poy Char,Phnum Srok,Banteay Meanchey
Sambuor,Poy Char,Phnum Srok,Banteay Meanchey
Pongro,Poy Char,Phnum Srok,Banteay Meanchey
Koun Klaeng,Poy Char,Phnum Srok,Banteay Meanchey
Pras Andoung,Poy Char,Phnum Srok,Banteay Meanchey
Ta Vong,Ponley,Phnum Srok,Banteay Meanchey
Ponley,Ponley,Phnum Srok,Banteay Meanchey
Svay Sa,Ponley,Phnum Srok,Banteay Meanchey
Svay Khmau,Ponley,Phnum Srok,Banteay Meanchey
Kouk Ta Sokh,Ponley,Phnum Srok,Banteay Meanchey
Pou Roam Bon,Ponley,Phnum Srok,Banteay Meanchey
Rouk,Spean Sraeng,Phnum Srok,Banteay Meanchey
Mukh Chhneang,Spean Sraeng,Phnum Srok,Banteay Meanchey
Spean,Spean Sraeng,Phnum Srok,Banteay Meanchey
Kouk Char,Spean Sraeng,Phnum Srok,Banteay Meanchey
Kandal,Spean Sraeng,Phnum Srok,Banteay Meanchey
Pongro,Spean Sraeng,Phnum Srok,Banteay Meanchey
Moat Srah,Srah Chik,Phnum Srok,Banteay Meanchey
Srah Chhuk Khang Lech,Srah Chik,Phnum Srok,Banteay Meanchey
Srah Chik,Srah Chik,Phnum Srok,Banteay Meanchey
Kouk Kral,Srah Chik,Phnum Srok,Banteay Meanchey
Kouk Rumchek,Srah Chik,Phnum Srok,Banteay Meanchey
Kouk Ta Reach,Srah Chik,Phnum Srok,Banteay Meanchey
Kandal Khang Lech,Srah Chik,Phnum Srok,Banteay Meanchey
Kandal Khang Kaeut,Srah Chik,Phnum Srok,Banteay Meanchey
Srah Chhuk Khang Kaeut,Srah Chik,Phnum Srok,Banteay Meanchey
Phnum Dei,Phnum Dei,Phnum Srok,Banteay Meanchey
Ponley,Phnum Dei,Phnum Srok,Banteay Meanchey
Kouk Seh,Phnum Dei,Phnum Srok,Banteay Meanchey
Thnal Dach,Phnum Dei,Phnum Srok,Banteay Meanchey
Bos Sbov,Phnum Dei,Phnum Srok,Banteay Meanchey
Trapeang Prei,Phnum Dei,Phnum Srok,Banteay Meanchey
Kamping Puoy,Phnum Dei,Phnum Srok,Banteay Meanchey
Spean Khmeng,Phnum Dei,Phnum Srok,Banteay Meanchey
Trang,Phnum Dei,Phnum Srok,Banteay Meanchey
Samraong Touch,Chnuor Mean Chey,Preah Netr Preah,Banteay Meanchey
Kouk Pongro,Chnuor Mean Chey,Preah Netr Preah,Banteay Meanchey
Thma Koul,Chnuor Mean Chey,Preah Netr Preah,Banteay Meanchey
Proput,Chnuor Mean Chey,Preah Netr Preah,Banteay Meanchey
Bantoat Baoh,Chnuor Mean Chey,Preah Netr Preah,Banteay Meanchey
